location_id,externalId,authority_name,authorityIdentifier,deviceName,measurement_type,platform_name,platformId,isUntrusted,description,locationInstallationPartner,isChornobylExclusionZone,addressCatuttc,addressPostCode,addressAdminUnitL1,admin_unit_l2,addressAdminUnitL3,addressAdminUnitL4,settlement_name,addressPostTypeName,addressCitytId,street_name,street_number,addressLocatorBuilding,addressDescription,lat,lon,source_file,region_raw,region_key,oblast_name_uk,oblast_name_en,display_region
20791,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32080070030073716,,Україна,Київська область,Бучанський район,Бучaнськa міська громада,Ворзель,селище,8778.0,Ворзель,,,,50.545,30.16,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20792,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32100030010047254,,Україна,Київська область,Вишгородський район,Димepськa селищнa громада,Димер,селище,9144.0,Димер,,,,50.806,30.28,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20793,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32080190010023112,,Україна,Київська область,Бучанський район,Мaкapівськa селищнa громада,Макарів,селище,9379.0,Макарів,,,,50.463,29.8,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20794,,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,38518118.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Київський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA32100050010050212,,Україна,Київська область,Вишгородський район,Івaнківськa селищнa громада,Іванків,село,23.0,Іванків,,,,50.943,29.89,saveecobot_radiation_locations.csv,Київська область,kyiv_oblast,Kyivska oblast,Kyiv Oblast,Kyiv Oblast
20795,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35040030010012943,,Україна,Кіровоградська область,Кропивницький район,Бoбpинeцькa міська громада,Бобринець,місто,9920.0,Бобринець,,,,48.06,32.15,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20796,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35020050010071459,,Україна,Кіровоградська область,Голованівський район,Гaйвopoнськa міська громада,Гайворон,місто,9995.0,Гайворон,,,,48.339,29.85,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20797,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35040110010034377,,Україна,Кіровоградська область,Кропивницький район,Дoлинськa міська громада,Долинська,місто,10111.0,Долинська,,,,48.106,32.77,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20798,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35040130010097956,,Україна,Кіровоградська область,Кропивницький район,Знaм’янськa міська громада,Знам'янка,місто,25987.0,Знам'янка,,,,48.719,32.65,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20799,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35040210010019355,,Україна,Кіровоградська область,Кропивницький район,Кpoпивницькa міська громада,Кропивницький,місто,9785.0,вулиця Тобілевича,,,,48.504,32.25,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20800,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35080170010073614,,Україна,Кіровоградська область,Олександрійський район,Світлoвoдськa міська громада,Світловодськ,місто,9797.0,Світловодськ,,,,49.038,33.15,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20801,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35060130010042714,,Україна,Кіровоградська область,Новоукраїнський район,Нoвoмиpгopoдськa міська громада,Новомиргород,місто,10373.0,Новомиргород,,,,48.786,31.64,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20802,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35080050010051027,,Україна,Кіровоградська область,Олександрійський район,Олeксaндpійськa міська громада,Олександрія,місто,25986.0,Олександрія,,,,48.667,33.12,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20803,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35020070010065136,,Україна,Кіровоградська область,Голованівський район,Гoлoвaнівськa селищнa громада,Голованівськ,селище,10021.0,Голованівськ,,,,48.381,30.47,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
