region_code,region_label,region_key,year,source_metric,metric_value_total_thsd_t,metric_name_en,metric_code,metric_value_hazardous_thsd_t,metric_source_note
700000000,Volyn,volyn,2015,recovery waste,105.5,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2100000000,Zakarpattya,zakarpattia,2015,disposal waste on landfills,125.6,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2100000000,Zakarpattya,zakarpattia,2015,generated_proxy,132.4,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2100000000,Zakarpattya,zakarpattia,2015,incineration waste,5.9,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2100000000,Zakarpattya,zakarpattia,2015,recovery waste,0.9,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2300000000,Zaporizhzhya,zaporizhzhia,2015,disposal waste on landfills,1941.9,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2300000000,Zaporizhzhya,zaporizhzhia,2015,generated_proxy,4681.1,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2300000000,Zaporizhzhya,zaporizhzhia,2015,incineration waste,116.1,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
2300000000,Zaporizhzhya,zaporizhzhia,2015,recovery waste,2623.1,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1800000000,Zhytomyr,zhytomyr,2015,disposal waste on landfills,187.4,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1800000000,Zhytomyr,zhytomyr,2015,generated_proxy,289.4,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1800000000,Zhytomyr,zhytomyr,2015,incineration waste,22.4,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1800000000,Zhytomyr,zhytomyr,2015,recovery waste,79.6,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
