companyId,companyName,addressAdminUnitL2,addressPostName,addressThoroughfare,addressLocatorDesignator,permissionNum,permissionIssued,permissionValid,companyGroup,permissionStatusNum,permissionStatusIssued,source_file,validity_type,permissionValidDate,is_expired
35346395,"ПП ""ЕКО-МОЛПРОДУКТ""",Вінницька,Некрасово,Некрасова,1А,520684203-3/1,2021-03-03,2030-10-02,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2030-10-02,False
42379199,"ТОВ ""ПОЛИЧИНЕЦЬКЕ-АГРО""",Вінницька,Поличинці,Виробнича,4,521486403-1,2021-03-03,2031-03-03,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-03-03,False
2675001894,ФОП БОЙКО СЕРГІЙ ІВАНОВИЧ,Вінницька,Стара Гута,Шевченка,11А,524881502-2,2021-03-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
41481995,"ТОВ ""ВІНТОРГПЛИТ""",Вінницька,Вінниця,Айвазовського,2,510136300-439,2021-03-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33437883,"ПП ""O.L.KAR-АГРОЗООВЕТ-СЕРВІС""",Вінницька,Шаргород,Героїв майдану,272,525310100-36,2021-03-03,2031-03-03,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-03-03,False
2821502253,ФОП АЗАРНИЙ ЄВГЕН СЕРГІЙОВИЧ  ,Вінницька,Іванів,"Урочище ""лісове""",1,520682003-5/1,2021-03-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
42346446,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ГЛУХІВЕЦЬКОЇ СЕЛИЩНОЇ РАДИ""",Вінницька,Глухівці,Кар'єрна,49,521455500-18,2021-03-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
20081093,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ)ГОСПОДАРСТВО ""НИВА""",Вінницька,Гунча,Перемоги,17,520881803-4,2021-03-04,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33837194,"ТОВ ""КРОНА-ЛАЙН""",Вінницька,Бирлівка,Набережна,46Д,520480603-6,2021-03-05,2031-03-05,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-03-05,False
41050330,"ТОВ ""ВІННИЦЬКА НАФТО-ТРАНСПОРТНА КОМПАНІЯ""",Вінницька,Гнівань,Вінницьке шосе,17,524510500-60,2021-03-09,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
30806027,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""ПОЛІЩУКА""",Вінницька,Погребище,Вінницька,36,523410100-117,2021-03-09,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32298302,"ПРИВАТНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""ЛЕВКІВЦІ""",Вінницька,Левківці,Миру,35,524384301-1,2021-03-10,2031-03-10,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-03-10,False
25495497,"КОМУНАЛЬНИЙ ЗАКЛАД ""КОВАЛІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ-ЛІЦЕЙ""КОВАЛІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""",Вінницька,Ковалівка,Соборна,3,523084001-11,2021-03-10,2031-03-10,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-03-10,False
3377840,"СГТОВ ""МИР""",Вінницька,Слобода-Межерівська,Центральна,1А,521085603-1,2021-03-10,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34142621,"ТОВ ""ТЕХНОЛОГІЧНИЙ СИНТЕЗ""",Вінницька,Глухівці,Карєрна,49,521455500-17,2021-03-10,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
40148165,"ТОВ ""СПІЛЬНЕ УКРАЇНСЬКО-НІМЕЦЬКЕ ПІДПРИЄМСТВО ""АВТОСТРАДА""",Вінницька,Вендичани,За межами населеного пункту,,522655500-28,2021-03-11,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
39254261,"ФГ ""ТРИ В+""",Вінницька,Ходаки,Садова,10,520285303-1,2021-03-11,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32713406,"ПП ""ПЛАЗМАТЕК-ТРАНС""",Вінницька,Рудниця,Шевченка,81,523255400-6,2021-03-11,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
