Post_ID,Post_Name,Post_Code,Riverbas_Name,WaterLab_Name,Latitude,Longitude,Controle_Date,Azot,BSK5,Zavisli,Kisen,Sulfat,Hlorid,Amoniy,Nitrat,Nitrit,Fosfat,SPAR,Permanganat,HSK,Fitoplan,Atrazin,Simazin,source_file
38238,"р. Іква, 89 км, с. Сапанів Кременецького р-ну, правий берег, 600 м нижче скиду КП ""Міськводгосп""",UA_M5.1.4_0201_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.170306,25.719833,2026-02-16,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38252,"р. Сіверський Донець, 0 км, нижче впадіння р. Казенний Торець",UA_M6.5.1_0006_01,Дон,Лабораторія моніторингу вод Східного регіону,48.886803,37.781458,2026-02-16,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38302,"р. Марунька, 8 км, м. Винники, під мостом окружної дороги м. Львова, вплив стоків м. Винники",UA_A6.6.1_0021_01,Вісла,Лабораторія моніторингу вод Західного регіону,49.793256,24.14315,2026-02-04,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38318,"р. Лімниця, 105 км, с.Осмолода, Рожнятівський р-н , Ландшафтний заказник місцевого значення ""Ріка Лімниця з водоохоронною смугою вздовж берегів шириною 100 м""",UA_M5.2_0320_01,Дністер,Лабораторія моніторингу вод Західного регіону,48.560458,24.014539,2026-02-11,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38322,"р. Гнила Липа, 38 км, с.Бабухів, вплив стоків КП ""Рогатинводоканал""",UA_M5.2_0375_01,Дністер,Лабораторія моніторингу вод Західного регіону,49.3625,24.615278,2026-02-12,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38324,"р. Ворона, 11 км, смт Тисмениця, вплив ПАТ ""Нафтохімік Прикарпаття""",UA_M5.2_0433_01,Дністер,Лабораторія моніторингу вод Західного регіону,48.916217,24.847311,2026-02-17,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38326,"р. Золота Липа, 77 км, м.Бережани, нижче скиду стічних вод Бережанського МКП ""Добробут""",UA_M5.2_0492_01,Дністер,Лабораторія моніторингу вод Західного регіону,49.4365,24.950889,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38330,"р. Саксагань, 5,3 км, м. Кривий Ріг, Саксаганське водосховище, район водоскидної споруди",UA_M5.1.3_0852_01,Дніпро,Лабораторія моніторингу вод Південного регіону ,47.924497,33.389178,2026-02-11,,4.23,5.7,11.63,864.97,1258.58,0.27,2.9,0.03,0.06,,,28.5,,,,2026-02-01_2026-02-28_output.csv
38334,"р. Інгулець, 325 км, м. Кривий Ріг, гідрологічний пост, 12 км нижче греблі Карачунівського водосховища, в створі металічного пішохідного мостика",UA_M5.1.3_0746_02,Дніпро,Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю,47.884153,33.341991,2026-02-11,,3.03,5.0,10.74,201.84,62.04,0.17,2.56,0.03,0.4,,,28.7,,0.007,0.0,2026-02-01_2026-02-28_output.csv
38940,"р. Герца, 0 км,  с. Лунка",UA_M5.3.2_0206_01,Дунай,Лабораторія моніторингу вод Західного регіону,48.181197,26.296834,2026-02-04,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38942,"р. Білка, 2 км,  м. Сторожинець",UA_M5.3.3_0022_01,Дунай,Лабораторія моніторингу вод Західного регіону,48.177766,25.685833,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38337,"р. Інгулець, 0 км, м. Снігурівка",UA_M5.1.3_0746_04,Дніпро,Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю,47.075222,32.824167,2026-02-17,,0.8599999999999999,51.2,9.56,473.6,1914.3,0.106,4.69,0.034,0.2109999999999999,0.11,9.01,25.44,,,,2026-02-01_2026-02-28_output.csv
38349,"р. Висунь, 25 км, 25 км від гирла (впадіння в річку Інгулець), в районі містка",UA_M5.1.3_0913_01,Дніпро,Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю,47.219153,32.832631,2026-02-17,,,,8.679999999999998,,,,,,,,,,,,,2026-02-01_2026-02-28_output.csv
38383,"р. Зимна Вода , 8 км, с. Зимна Вода, вплив стоків міжнародного аеропорту ""Львів"" та приватних господарств",UA_M5.2_0062_01,Дністер,Лабораторія моніторингу вод Західного регіону,49.818975,23.903058,2026-02-02,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38385,"р. Гнезна, 22 км, смт В. Бірки, правий берег, біля мосту, вплив стічних вод смт. В.Бірки",UA_M5.2_0620_01,Дністер,Лабораторія моніторингу вод Західного регіону,49.512917,25.749361,2026-02-02,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38387,"р. Збруч, 83 км, смт Скала-Подільська, правий берег, біля мосту, вплив стічних вод смт Скала-Подільська",UA_M5.2_0706_01,Дністер,Лабораторія моніторингу вод Західного регіону,48.838944,26.219528,2026-02-10,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38397,"р. Гашпарка, 8 км, нижче  с. Велика Копаня, Берегівського  району, автодорожний міст",UA_M5.3.1_0198_01,Дунай,Лабораторія моніторингу вод Західного регіону,48.195272,23.144958,2026-02-13,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
